time	V(n001)	V(n004)	V(n008)
2.702829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
2.802829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
2.902829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
3.002829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
3.102829013919269e-004	5.000000e+000	1.144125e+000	5.000000e+000
3.202829013919269e-004	5.000000e+000	1.144125e+000	5.000000e+000
3.302829013919269e-004	5.000000e+000	1.144125e+000	5.000000e+000
3.402829013919269e-004	5.000000e+000	1.144125e+000	5.000000e+000
3.502829013919270e-004	5.000000e+000	1.144125e+000	5.000000e+000
3.602829013919270e-004	5.000000e+000	1.144125e+000	5.000000e+000
3.702829013919270e-004	5.000000e+000	1.144125e+000	5.000000e+000
3.802829013919270e-004	5.000000e+000	1.144125e+000	5.000000e+000
3.902829013919271e-004	5.000000e+000	1.144125e+000	5.000000e+000
4.002829013919271e-004	5.000000e+000	1.144125e+000	5.000000e+000
4.102829013919271e-004	5.000000e+000	1.144125e+000	5.000000e+000
4.202829013919272e-004	5.000000e+000	1.144125e+000	5.000000e+000
4.302829013919272e-004	5.000000e+000	1.144125e+000	5.000000e+000
4.402829013919272e-004	5.000000e+000	1.144125e+000	5.000000e+000
4.502829013919272e-004	5.000000e+000	1.144125e+000	5.000000e+000
4.602829013919273e-004	5.000000e+000	1.144125e+000	5.000000e+000
4.702829013919273e-004	5.000000e+000	1.144125e+000	5.000000e+000
4.802829013919273e-004	5.000000e+000	1.144125e+000	5.000000e+000
4.902829013919273e-004	5.000000e+000	1.144125e+000	5.000000e+000
5.002829013919274e-004	5.000000e+000	1.144125e+000	5.000000e+000
5.100000000000000e-004	5.000000e+000	1.144125e+000	5.000000e+000
5.101572917574513e-004	5.000000e+000	1.145285e+000	4.921354e+000
5.104718752723539e-004	5.000000e+000	1.150037e+000	4.764062e+000
5.111010423021590e-004	5.000000e+000	1.170710e+000	4.449479e+000
5.123593763617692e-004	5.000000e+000	1.252015e+000	3.820312e+000
5.138554243396645e-004	5.000000e+000	1.421427e+000	3.072288e+000
5.152501376034892e-004	5.000000e+000	1.647601e+000	2.374931e+000
5.156537856200333e-004	5.000000e+000	1.725400e+000	2.173107e+000
5.158375851237467e-004	5.000000e+000	1.762519e+000	2.081208e+000
5.159064256486219e-004	5.000000e+000	1.776261e+000	2.046787e+000
5.159559493516645e-004	5.000000e+000	1.786050e+000	2.022025e+000
5.160082555025208e-004	5.000000e+000	1.796304e+000	1.995872e+000
5.160777995835721e-004	5.000000e+000	1.809802e+000	1.961100e+000
5.161616933233174e-004	5.000000e+000	1.825858e+000	1.919153e+000
5.162730964211653e-004	5.000000e+000	1.846748e+000	1.863452e+000
5.164110717436701e-004	5.000000e+000	1.871853e+000	1.794464e+000
5.166064803323902e-004	5.000000e+000	1.905950e+000	1.696760e+000
5.168574431407617e-004	5.000000e+000	1.947376e+000	1.571278e+000
