time	V(n003)	V(n007)	V(n010)
2.486392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
2.586392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
2.686392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
2.786392201726845e-004	5.000000e+000	5.000000e+000	2.686104e-001
2.886392201726845e-004	5.000000e+000	5.000000e+000	2.686104e-001
2.986392201726845e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.086392201726845e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.186392201726846e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.286392201726846e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.386392201726846e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.486392201726846e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.586392201726847e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.686392201726847e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.786392201726847e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.886392201726848e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.986392201726848e-004	5.000000e+000	5.000000e+000	2.686104e-001
4.086392201726848e-004	5.000000e+000	5.000000e+000	2.686104e-001
4.186392201726848e-004	5.000000e+000	5.000000e+000	2.686104e-001
4.286392201726849e-004	5.000000e+000	5.000000e+000	2.686104e-001
4.386392201726849e-004	5.000000e+000	5.000000e+000	2.686104e-001
4.486392201726849e-004	5.000000e+000	5.000000e+000	2.686104e-001
4.586392201726849e-004	5.000000e+000	5.000000e+000	2.686104e-001
4.686392201726850e-004	5.000000e+000	5.000000e+000	2.686104e-001
4.786392201726850e-004	5.000000e+000	5.000000e+000	2.686104e-001
4.886392201726850e-004	5.000000e+000	5.000000e+000	2.686104e-001
4.986392201726850e-004	5.000000e+000	5.000000e+000	2.686104e-001
5.045568806907401e-004	5.000000e+000	5.000000e+000	2.686104e-001
5.082146718998993e-004	5.000000e+000	5.000000e+000	2.686104e-001
5.100000000000000e-004	5.000000e+000	5.000000e+000	2.686104e-001
5.101232648684967e-004	5.000000e+000	4.938367e+000	2.687612e-001
5.103697946054900e-004	5.000000e+000	4.815103e+000	2.693960e-001
5.108628540794766e-004	5.000000e+000	4.568573e+000	2.722569e-001
5.118489730274498e-004	5.000000e+000	4.075513e+000	2.842879e-001
5.134563930771218e-004	5.000000e+000	3.271803e+000	3.224829e-001
5.149784316056676e-004	5.000000e+000	2.510784e+000	3.839967e-001
5.155901606462219e-004	5.000000e+000	2.204920e+000	4.214679e-001
5.158355449819443e-004	5.000000e+000	2.082227e+000	4.409218e-001
5.159293561752445e-004	5.000000e+000	2.035322e+000	4.491980e-001
5.159884248178743e-004	5.000000e+000	2.005788e+000	4.546080e-001
5.160518462281590e-004	5.000000e+000	1.974077e+000	4.605138e-001
5.161275420236904e-004	5.000000e+000	1.936229e+000	4.676510e-001
5.162295612993810e-004	5.000000e+000	1.885219e+000	4.773648e-001
