time	V(n001)	V(n006)	V(n011)
3.602829013919270e-004	5.000000e+000	5.000000e+000	5.562177e-011
3.702829013919270e-004	5.000000e+000	5.000000e+000	5.562177e-011
3.802829013919270e-004	5.000000e+000	5.000000e+000	5.562177e-011
3.902829013919271e-004	5.000000e+000	5.000000e+000	5.562177e-011
4.002829013919271e-004	5.000000e+000	5.000000e+000	5.562177e-011
4.102829013919271e-004	5.000000e+000	5.000000e+000	5.562177e-011
4.202829013919272e-004	5.000000e+000	5.000000e+000	5.562177e-011
4.302829013919272e-004	5.000000e+000	5.000000e+000	5.562177e-011
4.402829013919272e-004	5.000000e+000	5.000000e+000	5.562177e-011
4.502829013919272e-004	5.000000e+000	5.000000e+000	5.562177e-011
4.602829013919273e-004	5.000000e+000	5.000000e+000	5.562177e-011
4.702829013919273e-004	5.000000e+000	5.000000e+000	5.562177e-011
4.802829013919273e-004	5.000000e+000	5.000000e+000	5.562177e-011
4.902829013919273e-004	5.000000e+000	5.000000e+000	5.562177e-011
5.002829013919274e-004	5.000000e+000	5.000000e+000	5.562177e-011
5.100000000000000e-004	5.000000e+000	5.000000e+000	5.562177e-011
5.101572917574513e-004	5.000000e+000	4.921354e+000	-5.347848e-010
5.104718752723539e-004	5.000000e+000	4.764062e+000	-1.622782e-009
5.111010423021590e-004	5.000000e+000	4.449479e+000	-3.446027e-009
5.123593763617692e-004	5.000000e+000	3.820312e+000	-6.332722e-009
5.138554243396645e-004	5.000000e+000	3.072288e+000	-9.221686e-009
5.152501376034892e-004	5.000000e+000	2.374931e+000	-1.186971e-008
5.156537856200333e-004	5.000000e+000	2.173107e+000	9.133657e-006
5.158375851237467e-004	5.000000e+000	2.081208e+000	3.779847e-005
5.159064256486219e-004	5.000000e+000	2.046787e+000	7.614517e-005
5.159559493516645e-004	5.000000e+000	2.022025e+000	1.359918e-004
5.160082555025208e-004	5.000000e+000	1.995872e+000	2.428938e-004
5.160777995835721e-004	5.000000e+000	1.961100e+000	4.640932e-004
5.161616933233174e-004	5.000000e+000	1.919153e+000	8.754077e-004
5.162730964211653e-004	5.000000e+000	1.863452e+000	1.712423e-003
5.164110717436701e-004	5.000000e+000	1.794464e+000	3.314680e-003
5.166064803323902e-004	5.000000e+000	1.696760e+000	6.822810e-003
5.168574431407617e-004	5.000000e+000	1.571278e+000	1.380588e-002
5.171982903101318e-004	5.000000e+000	1.400855e+000	2.856812e-002
5.176646932656120e-004	5.000000e+000	1.167653e+000	6.007320e-002
5.183146079260779e-004	5.000000e+000	8.426960e-001	1.270154e-001
5.190813035970287e-004	5.000000e+000	4.593482e-001	2.438865e-001
5.200000000000001e-004	5.000000e+000	0.000000e+000	4.238255e-001
5.200596102876891e-004	5.000000e+000	0.000000e+000	4.385378e-001
5.201788308630672e-004	5.000000e+000	0.000000e+000	4.679606e-001
5.204172720138234e-004	5.000000e+000	0.000000e+000	5.267978e-001
5.208941543153356e-004	5.000000e+000	0.000000e+000	6.444369e-001
5.218479189183601e-004	5.000000e+000	0.000000e+000	8.795745e-001
5.237554481244091e-004	5.000000e+000	0.000000e+000	1.349383e+000
5.263435780666206e-004	5.000000e+000	0.000000e+000	1.983037e+000
5.291343838330153e-004	5.000000e+000	0.000000e+000	2.643059e+000
5.318610762490956e-004	5.000000e+000	0.000000e+000	3.225305e+000
5.344548864617337e-004	5.000000e+000	0.000000e+000	3.685178e+000
5.369566267436690e-004	5.000000e+000	0.000000e+000	4.028365e+000
5.398566836619201e-004	5.000000e+000	0.000000e+000	4.315750e+000
5.439416074912086e-004	5.000000e+000	0.000000e+000	4.589207e+000
